ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R,CLASS
4.251818450388984e-05,5.232554468331829e-05,3.659301527616556e-05,3.447697114525369e-05,9.645445211103352e-05,7.988716647299219e-05,3.0056235065210188e-05,3.680298438947547e-05,sad
8.710774251680284e-05,8.267799314216311e-05,7.581493007614967e-05,7.388143789920574e-05,6.617795800426012e-05,5.884566455187958e-05,0.0001874542858645589,0.00016836716781652746,sad
7.722868180608025e-05,7.922593621705224e-05,0.00010627946851696413,0.00011026626017769406,0.00024002407049905026,0.00022610029616852449,0.00020078123694195583,0.00021165821218174736,sad
9.189812730331948e-05,0.00011917669682952339,0.00019847281201364067,0.0002390524583856471,0.00020914152485085867,0.00022957648210229184,7.897779816974006e-05,0.00013265509095519734,sad
6.449058379835013e-05,6.823124356630125e-05,3.9194894876648157e-05,3.836730976651443e-05,0.00015732919116822478,0.0001352334452159278,3.161420665173153e-05,5.9040302703069517e-05,sad
4.6391628322108356e-05,8.117622731084758e-05,3.936516831846329e-05,6.162105250513274e-05,0.00018687847543452492,0.00017505214660746884,5.2168652397727786e-05,5.905224585307017e-05,sad
9.44080480934002e-05,0.00010933694859613531,0.00014534510223382523,0.00013419152322340411,9.366813928932886e-05,8.548816523677933e-05,0.0001988812138361401,0.0002833795469262955,sad
0.00010597271568393109,0.00010052322807966632,5.210625638784344e-05,5.517001142428538e-05,6.960750628387737e-05,6.843420925905689e-05,0.00013356676359008217,0.00016547202238694823,sad
3.818605944924058e-05,3.8290920122996886e-05,2.9334755340400454e-05,2.6473004056071887e-05,0.00014103703907639565,0.00011541826545265522,0.0001202522425348937,0.0001279910131357169,sad
0.00010582982161559685,0.00010781846847094105,3.399765196613958e-05,3.778217879158338e-05,5.143769970614386e-05,5.7976293209959034e-05,0.00011266663957975844,0.00015133786175515864,sad
9.230706763960499e-05,8.309383790915566e-05,6.654748639226339e-05,7.483441810716024e-05,0.00020962171493776907,0.00019541865008059517,0.0003347823767625839,0.00035818739284227465,sad
4.3330609033557154e-05,4.508485327931768e-05,1.2252511869117719e-05,1.8137922498249172e-05,3.9751082208187e-05,6.705512312380269e-05,2.4268252280948596e-05,2.6981775996332402e-05,sad
9.06123669861534e-05,0.00010302493975828251,7.657774593982786e-05,9.953216161227362e-05,2.971827710393579e-05,3.013287105476022e-05,0.00010847196800174546,0.00011331021035576984,sad
0.0002910554428479482,0.000195762490446424,0.00016993520817092596,0.0001207047571713592,0.00039686675410385115,0.00041792806460075647,0.00011672884173198207,0.0001555955350869299,sad
0.000329050547316861,0.00018637987759355878,1.746893768824279e-05,1.846887042742188e-05,9.065089161035157e-05,0.00012014454333353019,0.0003436518288661146,0.0004170655442209205,sad
0.00024525515283891535,0.00019898759399378257,0.00011337852161004183,0.00011737443938271526,0.00018653197229035425,0.0001689591924551447,7.508470730420104e-05,9.874831508242899e-05,sad
4.833285749157514e-05,5.421569639501829e-05,3.188984264993952e-05,3.37137576555853e-05,0.00020821371651512163,0.0002377269101776344,4.841414101823264e-05,5.178337845091459e-05,sad
0.00010604622614863253,0.00013047524492458052,3.8945152972663413e-05,4.232420539595868e-05,0.00015802415714447976,0.0001746663750230353,0.00017900979606288054,0.0001959577489686686,sad
6.919393557047126e-05,9.180773844461802e-05,6.946062080821212e-05,0.00011018324118525547,4.687972314721569e-05,3.664448645139282e-05,0.00010994989158726897,0.0001294310390968224,sad
6.75179228737353e-05,0.00010626637692659351,1.8457912524052597e-05,2.6243724941705488e-05,8.805795165833199e-05,8.261069980034504e-05,3.350877957307204e-05,5.911466826544035e-05,sad
2.4694534203440897e-05,2.2204200289298672e-05,1.5625661110699995e-05,1.657762735619247e-05,3.328581230075763e-05,3.312359879127069e-05,0.00011470759694738181,0.00012828973370489254,sad
6.358737207008489e-05,6.760097280371492e-05,6.0396913805033984e-05,5.427812376106145e-05,0.00010649581579275971,0.00010062980967125924,7.759457498505108e-05,8.211845882879272e-05,sad
6.33179455160779e-05,5.827113868113039e-05,6.805034171343791e-05,8.07829450563584e-05,1.4677535243963797e-05,1.823791557385794e-05,0.00010383006943930821,9.594891752537184e-05,sad
9.405441121135917e-05,7.013950632057593e-05,3.1832324435458746e-05,3.0699815865820106e-05,4.40210032127276e-05,4.101440452598657e-05,6.521005331752265e-05,7.617150634123569e-05,sad
0.00013254123069270706,0.0001737778900314577,6.680046560190253e-05,6.01904048159178e-05,7.068527789626327e-05,7.950895312469845e-05,2.1851744535960256e-05,3.500609110180124e-05,sad
0.00020355100683976715,0.0002705694267511233,6.057548467765685e-05,7.159253835142594e-05,7.948002343298299e-05,6.861305171033332e-05,0.00019475474139127357,0.00021652179104530905,sad
3.1488052878266524e-05,4.2019292763337714e-05,2.3168750803907187e-05,2.1415343034042965e-05,6.5101358933543e-05,6.40317769874116e-05,6.285431437052528e-05,6.010718114489817e-05,sad
6.740605611048832e-05,7.495742065548822e-05,3.0910630156319053e-05,2.5962708638036092e-05,5.9282824773830036e-05,5.8399731525481196e-05,6.533377318225495e-05,5.810244428492306e-05,sad
0.00024300808719426422,0.00020239646240183997,0.00012209565870153235,7.931946280072463e-05,7.616616187023259e-05,8.684275939831411e-05,5.183366506393758e-05,4.4832622901610704e-05,sad
0.00021318167348324707,0.00015914876350480575,0.00030815896221074543,0.0002509796279095929,0.0002798162410423768,0.000288097948581819,3.97417171198271e-05,3.211828251456358e-05,sad
2.7062848041044834e-05,3.8812991382075595e-05,2.7293166558291547e-05,2.924408939419526e-05,6.6424865718085675e-06,7.141056477190494e-06,7.279648329983082e-05,6.366194644185695e-05,sad
2.273689460315089e-05,2.15171657029853e-05,5.3468527984181194e-05,4.695548095259981e-05,9.479901092752093e-05,0.00010541639319601932,6.13949464459048e-05,9.253226423729856e-05,sad
0.00031486249180519114,0.0003515163079668475,0.00016687161983169684,0.00019924168050268893,2.2901536460705228e-05,3.153084955839391e-05,0.00010510511513348802,0.00011094558719074345,sad
5.231226756443148e-05,4.982127626360462e-05,2.7426327523610427e-05,2.974608089050201e-05,0.00014693004286286279,0.00013981337247482713,7.820875072421246e-05,7.597194446220837e-05,sad
7.628329905559856e-05,8.622368313778655e-05,2.6709561993052123e-05,3.148468934480065e-05,0.00013736333288056192,0.00016654940746366269,7.777656130201047e-05,7.595678109391957e-05,sad
6.017204555278591e-05,6.731560545646009e-05,2.211722335259992e-05,2.0368255692238025e-05,2.180465512827358e-05,1.5835874761187968e-05,2.5000007779930408e-05,2.8694138835500706e-05,sad
0.00016091137700724285,0.0001296956478465533,6.575980470045794e-05,7.40443023823479e-05,3.107287258823663e-05,2.872837068381916e-05,0.00035565083331868933,0.00026615114039372134,sad
3.904681000125043e-05,4.832489780580178e-05,3.368143570719681e-05,3.288275439480448e-05,4.190899426046548e-05,9.864568145778925e-05,0.00024669479399865957,0.00022083399405706608,sad
4.3713835740578636e-05,7.870507920557478e-05,5.075215534614977e-05,5.07574116129675e-05,6.378474586041443e-05,7.538390903766026e-05,7.067248214360212e-05,5.5887670626516154e-05,sad
0.0001876338117780858,0.00015223362416288307,0.00022541719175311732,0.00014701489312069985,0.00013901074768906549,9.163991668207585e-05,7.504074026100995e-05,7.956288067014597e-05,sad
8.102394371191581e-05,6.975205956630047e-05,3.5514361244233975e-05,3.8915614323962864e-05,9.701304752102279e-05,0.00010968358297420541,0.00012087716660178285,0.0001062621177750548,sad
5.852395037540473e-05,7.969009028907861e-05,9.355795141876913e-05,0.00013387595179564568,6.827586731822751e-05,7.997041448420994e-05,5.325591901182983e-05,4.252871693348511e-05,sad
8.008328794609435e-05,7.395496179757281e-05,2.868243527498645e-05,2.6759628864126418e-05,0.0001100310246771097,0.0001221676167902513,0.00010813157255354727,0.00010648131709668397,sad
4.631927869987535e-05,4.225910718020379e-05,4.490821705045749e-05,6.977814542110235e-05,0.0001079943170405944,9.436703398751145e-05,0.0001488773334581546,0.00011309783725510687,sad
8.290721756379628e-05,9.458215980484757e-05,7.133647591888179e-05,7.698616743438448e-05,0.00015563310703902735,0.0001489424094933261,0.00012727477475408456,0.00011570671437636506,sad
2.0403963974608176e-05,2.3699161029933824e-05,3.921293310198487e-05,3.8480090185650056e-05,0.00013043170350970535,0.00014723277596284264,0.00014386800540548364,0.00010667735542974589,sad
6.587332234174577e-05,9.079276304043141e-05,0.00011019617878535441,0.00013653990677102142,0.00015137736387091518,0.00016668797674110718,5.111956047707936e-05,4.495893515149073e-05,sad
5.49271253518336e-05,6.928248789327067e-05,8.317262914251704e-05,9.126906051275164e-05,0.0004741884014843977,0.0005095089529971037,9.903984580567909e-05,0.000103464680767798,sad
0.00014857927906822892,0.00017756839514682118,8.217577183660741e-05,0.00010476909777032043,0.0003685384958628704,0.0003126658754912759,0.00019784302539983416,0.00017186964142393494,sad
9.466381484115112e-05,9.976191654569994e-05,9.065611669620213e-05,5.03150793825625e-05,0.00020341646134611972,0.00015089532360882895,0.00017324770447732225,0.00021374807801677833,sad
0.0002890849986628599,0.0003555501023578737,0.00013012648305206045,0.00011831886070884483,0.00015945063000038736,9.930532894770404e-05,0.0001291042958012353,0.00012188075464953225,sad
0.002091873567454376,0.001238535372532468,8.885667468318217e-05,8.626677980034716e-05,0.001149583287999841,0.0007507452649067633,0.00022643535817289218,0.00020141718191809602,sad
5.479565678044917e-05,4.188493010897497e-05,5.4773105987811896e-05,3.5034739102732274e-05,0.0008185316618152901,0.0007929609555892014,0.0002154883724799637,0.00021443995261896312,sad
0.0005070080819884683,0.000601153132790427,0.0002507950536482356,0.00030177095328907965,3.446796877356143e-05,5.019533751164432e-05,5.107731031374489e-05,4.9360596716087554e-05,sad
0.00011654831982648712,0.0001497486567451721,2.3213602934490383e-05,1.979044996831123e-05,5.9599919564888424e-05,6.65937784843463e-05,4.251492514484997e-05,5.282908069998998e-05,sad
5.9901783160274615e-05,8.320790135862027e-05,3.289984643327284e-05,4.3974992366854946e-05,0.00012092915473164767,0.0001455069635725766,7.608030624450845e-05,0.0001054168227269164,sad
3.950260318129472e-05,5.677205583420246e-05,3.470609949068789e-05,5.740079774234021e-05,0.00016094117385283862,0.00021292987220558566,5.588823074194805e-05,6.514503700446548e-05,sad
0.00012501894219410788,0.0001692504468978554,0.00010335269902536263,0.00013445392410184367,0.0001871366033597252,0.00018334530037687687,9.848398799327782e-05,0.00011668118498323112,sad
8.97535279143663e-05,9.992209472530537e-05,1.8449234347103096e-05,3.185955101799789e-05,9.016703833302764e-05,0.00012272149063859213,8.621329400632369e-05,9.413191477963359e-05,sad
5.6975100793913474e-05,5.478858436535677e-05,3.49958085492038e-05,5.031069099569409e-05,0.00027631281857052356,0.00036231420447654147,4.2187649576997044e-05,3.2244491890069175e-05,sad
0.00013885286642404134,0.00018618969636175595,4.7778505970304177e-05,5.772787650331911e-05,0.0001591223191893984,0.00014651164835996123,0.00013659321012494464,0.0001420022301652741,sad
1.4378508641792468e-05,1.9975633121028454e-05,6.778484983668932e-06,5.053901316859568e-06,0.00030168562007491903,0.00031985344599320655,9.37276649570742e-05,9.931281779614236e-05,sad
0.00014368343379073066,0.00018445367199802933,0.00014404730268783369,0.00019741395979523755,0.00023304191194082442,0.00025894647366805055,7.406944032608374e-05,0.00010686276620749477,sad
